,R1,R2,R3,R4,R5,R6,R7
3899,5,6,24,30,34,38,32
3898,16,18,19,21,29,32,27
3897,8,12,15,18,20,34,37
3896,4,10,13,18,33,39,11
3895,12,23,29,31,32,36,1
3894,12,14,21,29,32,39,26
3893,4,12,17,19,20,30,25
3892,4,6,10,15,32,36,33
3891,2,3,24,25,29,34,7
3890,3,5,14,15,26,34,28
3889,3,14,24,32,36,39,28
3888,6,9,23,24,28,36,26
3887,4,8,25,32,36,38,27
3886,6,9,15,23,32,37,7
3885,2,11,13,22,30,36,24
3884,10,19,20,25,30,32,7
3883,1,3,4,26,28,36,6
3882,3,18,22,26,31,36,14
3881,4,21,27,31,33,39,14
3880,4,12,13,17,34,36,21
3879,2,5,8,14,35,38,24
3878,3,18,22,24,26,33,2
3877,3,10,16,22,28,29,27
3876,3,7,19,20,26,29,21
3875,9,21,25,26,29,32,5
3874,12,13,23,27,30,35,1
3873,6,8,11,13,24,30,5
3872,1,5,8,18,33,35,19
3871,12,14,20,22,25,26,33
3870,14,18,23,28,31,35,38
3869,6,17,22,27,37,39,26
3868,6,11,14,16,27,29,28
3867,1,8,10,17,21,38,9
3866,1,7,12,19,20,28,10
3865,3,8,11,27,29,38,14
3864,2,12,14,27,28,36,34
3863,5,12,21,27,29,33,16
3862,2,10,31,34,35,39,20
3861,2,5,6,9,11,15,1
3860,3,9,20,21,23,28,31
3859,10,22,29,31,38,39,36
3858,26,27,29,30,36,39,19
3857,9,10,16,21,26,29,15
3856,2,11,15,18,30,34,23
3855,2,9,23,29,34,37,31
3854,11,16,25,26,29,35,8
3853,1,16,19,32,36,38,22
3852,20,22,26,28,30,32,12
3851,6,21,22,28,30,35,32
3850,3,21,24,29,31,34,26
3849,6,10,11,22,27,28,37
3848,7,8,9,16,17,21,3
3847,15,20,21,27,30,36,33
3846,1,19,27,28,34,39,20
3845,3,6,11,21,34,37,9
3844,7,14,17,22,24,26,30
3843,4,10,22,28,30,37,1
3842,6,7,13,32,37,38,28
3841,5,21,24,26,30,36,38
3840,3,19,20,24,25,38,30
3839,4,7,19,22,29,31,13
3838,7,8,9,14,21,36,38
3837,7,13,18,19,21,29,34
3836,2,4,19,22,33,35,8
3835,6,8,11,15,33,36,4
3834,9,11,12,29,30,36,28
3833,12,21,23,35,37,39,33
3832,4,16,17,20,26,33,23
3831,2,3,6,21,33,36,12
3830,5,12,16,24,31,34,7
3829,2,5,7,8,21,30,39
3828,4,9,10,27,37,39,2
3827,2,4,30,31,37,39,17
3826,11,15,32,34,38,39,22
3825,14,15,20,21,22,37,30
3824,3,12,15,16,18,38,9
3823,1,12,15,21,24,37,13
3822,5,6,8,9,11,29,18
3821,7,16,23,29,31,38,26
3820,2,9,12,17,25,32,3
3819,8,10,11,16,18,34,36
3818,2,14,19,23,28,35,9
3817,14,19,21,24,28,30,32
3816,4,18,19,20,22,36,35
3815,2,11,13,22,24,38,20
3814,7,16,19,22,29,33,6
3813,5,13,16,17,20,34,29
3812,5,22,24,29,31,37,18
3811,9,12,33,35,38,39,19
3810,13,25,27,28,33,36,19
3809,6,19,25,27,28,33,8
3808,2,7,16,18,22,26,9
3807,7,23,24,27,35,37,39
3806,1,22,23,26,27,28,33
3805,2,8,10,27,34,36,1
3804,1,17,27,33,34,38,19
3803,4,7,25,28,33,35,26
3802,1,4,7,10,34,37,6
3801,2,6,12,19,33,35,5
3800,9,12,13,21,28,39,2
3799,10,13,15,18,25,26,35
3798,3,7,13,23,24,30,1
3797,10,12,20,21,31,38,19
3796,1,11,17,28,34,37,39
3795,7,17,21,28,31,37,30
3794,4,10,12,20,30,34,23
3793,7,12,33,34,37,39,6
3792,5,13,15,22,28,34,1
3791,3,19,21,28,31,39,38
3790,1,5,8,35,37,39,12
3789,13,15,19,20,22,28,5
3788,15,18,21,25,27,32,26
3787,3,8,12,25,27,39,32
3786,5,6,8,9,15,27,34
3785,1,2,3,5,15,24,4
3784,7,10,14,16,20,28,32
3783,2,13,18,19,31,37,36
3782,1,5,9,22,26,32,18
3781,4,7,24,25,27,38,30
3780,2,13,17,28,32,37,9
3779,13,14,25,27,32,33,17
3778,1,13,15,21,35,36,8
3777,2,5,11,18,26,36,22
3776,2,10,22,33,38,39,19
3775,1,6,19,20,24,37,2
3774,3,15,25,28,31,38,37
3773,7,9,18,20,28,36,32
3772,7,16,24,25,37,38,10
3771,1,6,16,29,37,39,5
3770,2,13,14,21,23,26,9
3769,5,15,17,30,31,36,4
3768,17,18,23,28,31,34,32
3767,20,23,25,31,37,39,32
3766,3,13,16,20,21,28,19
3765,7,11,18,22,26,28,12
3764,5,7,8,22,29,33,14
3763,2,3,11,12,15,23,32
3762,11,20,25,26,29,33,38
3761,5,13,18,22,24,33,27
3760,1,5,16,18,20,22,12
3759,2,4,5,6,11,33,9
3758,8,16,17,29,30,32,12
3757,11,20,24,30,33,36,18
3756,5,9,19,23,29,37,16
3755,9,15,22,23,24,35,8
3754,15,20,26,36,37,39,23
3753,1,3,15,17,18,25,35
3752,3,7,20,30,34,38,33
3751,3,5,12,19,36,37,39
3750,10,18,22,27,29,38,5
3749,7,11,15,18,19,20,8
3748,2,7,9,13,15,19,24
3747,5,9,15,21,32,36,13
3746,1,23,30,34,37,38,9
3745,4,12,15,17,20,28,39
3744,6,16,22,27,30,35,36
3743,1,6,18,28,30,34,26
3742,8,11,12,15,31,38,10
3741,17,18,21,27,30,35,28
3740,16,23,25,27,30,35,14
3739,10,16,18,21,29,38,28
3738,11,16,19,23,25,37,22
3737,3,11,12,16,24,28,20
3736,11,12,15,19,32,33,29
3735,8,11,16,27,37,38,5
3734,1,8,12,27,34,37,35
3733,7,15,22,32,33,36,20
3732,12,20,26,32,37,38,10
3731,6,16,17,28,30,36,29
3730,8,9,18,19,20,31,10
3729,12,21,26,29,35,36,31
3728,10,16,25,29,35,36,9
3727,6,22,23,30,31,34,10
3726,5,8,30,34,37,38,20
3725,3,6,12,15,17,24,31
3724,3,13,20,34,35,38,33
3723,3,4,7,8,16,33,2
3722,10,13,14,20,22,35,27
3721,12,17,21,23,24,38,10
3720,7,15,22,29,30,37,3
3719,6,11,12,16,21,34,15
3718,6,16,22,27,37,38,24
3717,6,12,14,24,33,35,20
3716,2,15,17,28,36,37,39
3715,4,6,14,20,25,39,33
3714,5,9,10,21,26,35,30
3713,6,24,31,37,38,39,22
3712,6,8,12,25,27,32,26
3711,3,7,11,18,23,34,30
3710,18,21,23,26,27,31,7
3709,8,14,18,24,27,39,31
3708,1,18,22,23,34,36,31
3707,5,14,15,19,20,21,22
3706,4,14,18,21,35,36,12
3705,1,8,9,20,22,34,24
3704,6,8,13,24,27,37,36
3703,12,14,16,18,25,35,5
3702,8,18,28,30,36,39,32
3701,3,5,6,17,28,33,13
3700,6,17,24,30,32,39,34
3699,12,18,19,20,25,31,8
3698,2,15,17,22,24,30,31
3697,5,9,13,23,24,33,4
3696,4,11,18,20,26,32,13
3695,8,13,14,17,20,23,19
3694,6,11,12,19,32,33,8
3693,2,9,19,24,30,33,22
3692,10,12,16,30,33,37,15
3691,9,14,23,29,31,33,24
3690,11,18,20,28,36,37,29
3689,4,10,21,29,30,37,7
3688,10,12,18,19,32,35,31
3687,14,23,24,26,36,38,1
3686,3,6,19,23,28,29,24
3685,2,13,24,32,35,36,27
3684,9,13,15,17,29,30,26
3683,3,6,14,20,21,27,33
3682,1,5,10,14,26,35,38
3681,2,19,22,26,28,29,11
3680,1,5,29,32,36,38,14
3679,1,7,10,13,32,36,37
3678,4,25,33,34,35,37,13
3677,2,19,21,27,30,37,18
3676,2,12,14,24,29,33,32
3675,2,4,10,16,17,26,15
3674,12,15,21,23,35,39,36
3673,2,8,20,23,32,35,9
3672,2,3,11,23,25,37,16
3671,3,13,18,24,28,33,39
3670,11,21,28,29,35,37,14
3669,5,11,12,27,37,38,30
3668,12,16,17,20,21,39,3
3667,3,5,22,27,29,38,19
3666,15,17,26,34,36,37,13
3665,3,9,15,33,38,39,11
3664,8,19,20,22,23,32,39
